iter	Logloss
0	0.5815680318
1	0.4796207655
2	0.4141526974
3	0.3737007999
4	0.3324498509
5	0.2961289112
6	0.2802599678
7	0.2578826622
8	0.2378875022
9	0.2218401059
10	0.2092933177
11	0.2038656248
12	0.1976054698
13	0.191902578
14	0.1840782045
15	0.1818498667
16	0.1798399288
17	0.1776252402
18	0.1745249057
19	0.172083364
20	0.1697744533
21	0.1676395467
22	0.1653862305
23	0.1635390235
24	0.1619936786
25	0.1606735014
26	0.1592970265
27	0.1581217458
28	0.1570070806
29	0.1555672113
30	0.1539165076
31	0.151880577
32	0.1510486429
33	0.1496210312
34	0.1471997169
35	0.1455402704
36	0.1443057283
37	0.1432694112
38	0.1423136116
39	0.1405393927
40	0.1360794722
41	0.1351776986
42	0.1335615303
43	0.1321409083
44	0.1309106842
45	0.1290789973
46	0.1281256829
47	0.127297042
48	0.1265716656
49	0.1253456791
50	0.12412983
51	0.1237701564
52	0.1227795265
53	0.1217422899
54	0.120396442
55	0.1195518943
56	0.1186492834
57	0.1179955128
58	0.1170106439
59	0.1159516857
60	0.1154140132
61	0.1144202431
62	0.1130303617
63	0.1114953768
64	0.1106920608
65	0.109782311
66	0.1087512341
67	0.1079829216
68	0.1072476155
69	0.1060683767
70	0.1049227381
71	0.10432969
72	0.1036793743
73	0.1033389682
74	0.1020941714
75	0.1005091638
76	0.09741455462
77	0.09681838855
78	0.09625312948
79	0.09529647557
80	0.09475974683
81	0.09382112998
82	0.09294837821
83	0.09185330866
84	0.09052121426
85	0.08954468117
86	0.08908034206
87	0.08805774249
88	0.08737421701
89	0.08544946984
90	0.08496491415
91	0.08423210002
92	0.0839168113
93	0.08296922134
94	0.08164955483
95	0.08105105712
96	0.07913329666
97	0.07848137301
98	0.078042078
99	0.07770051331
