iter	Passed	Remaining
0	9	976
1	18	890
2	26	858
3	34	835
4	43	825
5	52	818
6	60	803
7	69	799
8	77	784
9	84	764
10	91	740
11	96	710
12	101	682
13	105	649
14	109	620
15	112	592
16	115	564
17	118	539
18	121	516
19	123	495
20	126	476
21	129	460
22	132	444
23	135	428
24	137	413
25	140	400
26	143	388
27	146	375
28	148	364
29	151	353
30	154	343
31	157	333
32	159	324
33	162	315
34	165	306
35	167	298
36	170	290
37	173	283
38	176	275
39	179	268
40	182	262
41	184	255
42	187	248
43	190	242
44	193	235
45	195	229
46	198	223
47	201	217
48	204	212
49	206	206
50	209	201
51	211	195
52	214	190
53	217	185
54	220	180
55	223	175
56	225	170
57	228	165
58	231	160
59	234	156
60	237	151
61	239	146
62	242	142
63	245	137
64	247	133
65	250	129
66	252	124
67	255	120
68	258	116
69	260	111
70	264	107
71	266	103
72	269	99
73	272	95
74	274	91
75	277	87
76	280	83
77	283	79
78	285	75
79	288	72
80	291	68
81	293	64
82	296	60
83	299	57
84	301	53
85	304	49
86	307	45
87	310	42
88	313	38
89	315	35
90	318	31
91	321	27
92	324	24
93	327	20
94	329	17
95	332	13
96	335	10
97	337	6
98	340	3
99	343	0
